Release_datetime_obj,Title,Developer(s),Publisher(s),Series,Platform(s),Genre(s),Mode(s),Designer(s),Engine,Arcade system,Programmer(s),Composer(s),Director(s),Producer(s),Artist(s),Writer(s)
1998-10-30,Grim Fandango,LucasArts,['LucasArts'],Series Not Available,"['Microsoft Windows', 'Linux', 'OS X', 'PlayStation 4', 'PlayStation Vita', 'Android', 'iOS', 'Nintendo Switch', 'Xbox One']",Graphic adventure,Single-player,Designer(s) Not Available,GrimE,Arcade system Not Available,['Bret Mogilefsky'],Peter McConnell,Tim Schafer,Producer(s) Not Available,['Peter Tsacle'],['Tim Schafer']
1998-11-19,Half-Life,Valve,Sierra Studios Valve (digital),Half-Life,"['Windows', 'PlayStation 2', 'OS X', 'Linux']",First-person shooter,"['Single-player', 'multiplayer']",Designer(s) Not Available,GoldSrc,Arcade system Not Available,Programmer(s) Not Available,Kelly Bailey,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Marc Laidlaw
1998-11-21,The Legend of Zelda: Ocarina of Time,Nintendo EAD,Nintendo,The Legend of Zelda,"['Nintendo 64', 'GameCube', 'iQue Player']",Action-adventure,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Kenzo Hayakawa'],Koji Kondo,"['Eiji Aonuma', 'Yoshiaki Koizumi']",Shigeru Miyamoto,"['Yoshiaki Koizumi', 'Yusuke Nakano']",['Kensuke Tanabe']
1998-09-03,Metal Gear Solid,Konami Computer Entertainment Japan,Konami,Metal Gear,"['PlayStation', 'Microsoft Windows']","['Action-adventure', 'stealth']",Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Kazunobu Uehara'],"['Kazuki Muraoka', 'Hiroyuki Togo', 'Takanari Ishiyama', 'Lee Jeon Myung', 'Maki Kirioka']",Hideo Kojima,"['Hideo Kojima', 'Motoyuki Yoshioka']",Yoji Shinkawa,"['Hideo Kojima', 'Tomokazu Fukushima']"
1998-01-29,Panzer Dragoon Saga,['Team Andromeda'],Sega,Panzer Dragoon,Sega Saturn,"['Action-adventure', 'role-playing']",Single-player,['Manabu Kusunoki'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Saori Kobayashi', 'Mariko Nanba']",Yukio Futatsugi,Producer(s) Not Available,Katsumi Yokota,Writer(s) Not Available
1998-01-21,Resident Evil 2,Capcom,"['Virgin Interactive', 'Nintendo Australia', 'Tiger Electronics']",Resident Evil,"['PlayStation', 'Windows', 'Nintendo 64', 'Dreamcast', 'GameCube', 'Game.com']",Survival horror,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Yasuhiro Anpo'],"['Masami Ueda', 'Shusaku Uchiyama', 'Syun Nishigaki']",Hideki Kamiya,Shinji Mikami,"['Isao Ohishi', 'Ryoji Shimogama']",Noboru Sugimura
1998-03-31,StarCraft,Blizzard Entertainment,['Blizzard Entertainment'],StarCraft,"['Microsoft Windows', 'Classic Mac OS', 'Nintendo 64']",Real-time strategy,"['Single-player', 'multiplayer']",['Chris Metzen'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Derek Duke', 'Jason Hayes', 'Glenn Stafford', 'Tracy W. Bush']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1998-12-01,Thief: The Dark Project,Looking Glass Studios,Eidos Interactive,Thief,Microsoft Windows,Stealth,Single-player,['Tim Stellmach'],Dark Engine,Arcade system Not Available,['Tom Leonard'],Eric Brosius,['Greg LoPiccolo'],Josh Randall,['Mark Lizotte'],"['Terri Brosius', 'Ken Levine']"
1999-09-30,Age of Empires II: The Age of Kings,Ensemble Studios,"['Microsoft', 'Konami']",Age of Empires,"['Microsoft Windows', 'Mac OS', 'PlayStation 2']",Real-time strategy,"['Single-player', 'multiplayer']",Bruce Shelley,Genie Engine,Arcade system Not Available,['Angelo Laudon'],Stephen Rippy,Director(s) Not Available,Producer(s) Not Available,"['Brad Crow', 'Scott Winsett']",Writer(s) Not Available
1999-03-16,EverQuest,"['Verant Interactive', '989 Studios']","['Sony Online Entertainment', 'Ubi Soft']",Series Not Available,"['Microsoft Windows', 'macOS']",Massively multiplayer online role-playing game,Multiplayer,"['Steve Clover', 'Brad McQuaid', 'William Trost']",True3D 7th Level,Arcade system Not Available,['Steve Clover'],['Jay Barbeau'],Director(s) Not Available,Brad McQuaid,['Rosie Rappaport'],Writer(s) Not Available
1999-09-28,Homeworld,Relic Entertainment,Sierra Studios,Series Not Available,"['Windows', 'macOS']",Real-time strategy,"['Single-player', 'multiplayer']",['Erin Daly'],Engine Not Available,Arcade system Not Available,['Luke Moloney'],Paul Ruskay,Alex Garden,['Curtis Terry'],['Aaron Kambeitz'],"Martin Cirulis, Arinn Dembo"
1999-12-12,Planescape: Torment,Black Isle Studios,Interplay Entertainment,Series Not Available,"['Microsoft Windows', 'Linux', 'macOS', 'Android', 'iOS', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",Role-playing video game,Single-player,Chris Avellone,Infinity Engine,Arcade system Not Available,['Dan Spitzley'],Mark Morgan,Director(s) Not Available,['Guido Henkel'],['Tim Donley'],['Chris Avellone']
1999-12-02,Quake III Arena,id Software,"['Loki Entertainment', 'Sega', 'EA Games', 'Bethesda Softworks']",Quake,"['Microsoft Windows', 'Linux', 'Mac OS', 'Mac OS X', 'Dreamcast', 'PlayStation 2', 'Xbox 360', 'iOS']",First-person shooter,"['Single-player', 'multiplayer']","['Graeme Devine', 'Tim Willits', 'Jennell Jaquays']",id Tech 3,Arcade system Not Available,"['John Carmack', 'Robert A. Duffy']","['Sonic Mayhem', 'Bill Leeb']",Director(s) Not Available,Producer(s) Not Available,"['Adrian Carmack', 'Kevin Cloud']",Writer(s) Not Available
1999-12-29,Shenmue,Sega AM2,Sega,Shenmue,"['Dreamcast', 'Windows', 'PlayStation 4', 'Xbox One']","['Action-adventure', 'life simulation', 'social simulation']",Single-player,['Eigo Kasahara'],Engine Not Available,Arcade system Not Available,['Keiji Okayasu'],"['Takenobu Mitsuyoshi', 'Yuzo Koshiro']","['Yu Suzuki', 'Toshihiro Nagoshi']","['Yu Suzuki', 'Toshihiro Nagoshi']",['Masanori Ohe'],"['Yu Suzuki', 'Masahiro Yoshimoto', 'Takao Yotsuji']"
1999-02-23,Silent Hill,"['Konami Computer Entertainment Tokyo', 'Team Silent']",Konami,Silent Hill,"['PlayStation', 'Game Boy Advance']",Survival horror,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Akihiro Imamura'],Akira Yamaoka,Keiichiro Toyama,['Gozo Kitao'],Artist(s) Not Available,['Keiichiro Toyama']
1999-08-11,System Shock 2,"['Irrational Games', 'Looking Glass Studios']",Electronic Arts,Series Not Available,"['Microsoft Windows', 'OS X', 'Linux']","['Action role-playing', 'first-person shooter', 'survival horror']","['Single-player', 'multiplayer']",Ken Levine,Dark Engine,Arcade system Not Available,['Rob Fermier'],"['Ramin Djawadi', 'Eric Brosius']",['Jonathan Chey'],Josh Randall,['Gareth Hinds'],['Ken Levine']
1999-11-22,Unreal Tournament,"['Epic Games', 'Digital Extremes']","['GT Interactive Software', 'MacSoft', 'Infogrames']",Unreal,"['Microsoft Windows', 'Classic Mac OS', 'Linux', 'PlayStation 2', 'Dreamcast']",First-person shooter,"['Single-player', 'multiplayer']",['Cliff Bleszinski'],Unreal Engine,Arcade system Not Available,"['Tim Sweeney', 'Steve Polge']","['Straylight Productions', 'Michiel van den Bos']",Director(s) Not Available,Producer(s) Not Available,['Shane Caudle'],Writer(s) Not Available
2000-09-21,Baldur's Gate II: Shadows of Amn,BioWare,"['Black Isle Studios', 'Interplay Entertainment']",Baldur's Gate,"['Microsoft Windows', 'Mac OS', 'Linux']",Role-playing video game,"['Single-player', 'multiplayer']",Kevin Martens,Infinity Engine,Arcade system Not Available,['Mark Darrah'],"['Michael Hoenig', 'Howard Drossin']",James Ohlen,['Ben Smedstad'],['Marcia Tofer'],Writer(s) Not Available
2003-11-18,Counter-Strike,Valve,['Sierra Studios'],Counter-Strike,"['Windows', 'Xbox', 'OS X', 'Linux']",First-person shooter,Multiplayer,"['Minh Le', 'Jess Cliffe']",GoldSrc,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
2000-06-23,Deus Ex,Ion Storm,Eidos Interactive,Deus Ex,"['Microsoft Windows', 'Mac OS', 'PlayStation 2']","['Action role-playing', 'first-person shooter', 'stealth']","['Single-player', 'multiplayer']",Harvey Smith,Unreal Engine,Arcade system Not Available,['Chris Norden'],"['Alexander Brandon', 'Dan Gardopée', 'Michiel van den Bos']",Warren Spector,['Warren Spector'],['Jay Lee'],['Austin Grossman']
2000-06-29,Diablo II,Blizzard North,Blizzard Entertainment,Diablo,"['Microsoft Windows', 'Classic Mac OS', 'macOS']","['Action role-playing', 'hack and slash']","['Single-player', 'multiplayer']","['David Brevik', 'Erich Schaefer', 'Max Schaefer']",Engine Not Available,Arcade system Not Available,['Rick Seis'],Matt Uelmen,David Brevik Erich Schaefer Max Schaefer,Mark Kern Kenneth Williams,['Phil Shenk'],Kurt Beaver Stieg Hedlund Matthew Householder Phil Shenk Robert Vieira
2000-06-29,Jet Set Radio,"['Smilebit', 'BlitWorks']",Sega,Jet Set Radio,"['Dreamcast', 'Java ME', 'PlayStation 3', 'Windows', 'Xbox 360', 'PlayStation Vita', 'iOS', 'Android']","['Platform', 'action', 'sports']",Single-player,['Hosokawa Kazuki'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Hideki Naganuma', 'Richard Jacques']",['Masayoshi Kikuchi'],['Kawagoe Takayuki'],['Ryuta Ueda'],Writer(s) Not Available
2000-04-27,The Legend of Zelda: Majora's Mask,Nintendo EAD,Nintendo,The Legend of Zelda,"['Nintendo 64GameCube', 'Nintendo 64', 'GameCube']",Action-adventure,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,"['Toshio Iwawaki', 'Toshihiko Nakago']",Koji Kondo,"['Eiji Aonuma', 'Yoshiaki Koizumi']",Shigeru Miyamoto,"['Yusuke Nakano', 'Takaya Imamura']","['Mitsuhiro Takano', 'Shigeru Miyamoto', 'Yoshiaki Koizumi']"
2000-02-04,The Sims,"['Maxis', 'Edge of Reality']","['Electronic Arts', 'Aspyr Media', 'EA Games']",The Sims,"['Microsoft Windows', 'Mac OS', 'OS X', 'Linux', 'PlayStation 2', 'GameCube', 'Xbox']",Life simulation,Single-player,Will Wright,Engine Not Available,Arcade system Not Available,"['Jeffrey Charvat', 'Jim Mackraz']","['Jerry Martin', 'Marc Russo']",Director(s) Not Available,['Kana Ryan'],['Charles London'],['Sean Baity']
2000-03-23,Thief II: The Metal Age,Looking Glass Studios,Eidos Interactive,Thief,Microsoft Windows,Stealth,Single-player,Tim Stellmach Randy Smith,Dark Engine,Arcade system Not Available,"['Alex Duran', 'William Farquhar', 'Pat McElhatton']",Eric Brosius,['Steve Pearsall'],Producer(s) Not Available,['Mark Lizotte'],Writer(s) Not Available
2000-09-20,Tony Hawk's Pro Skater 2,Neversoft,Activision,Tony Hawk's,"['PlayStation', 'Microsoft Windows', 'Game Boy Color', 'Dreamcast', 'Game Boy Advance', 'Mac OS', 'Nintendo 64', 'iOS']",Sports,"['Single-player', 'multiplayer']",['Aaron Cammarata'],Engine Not Available,Arcade system Not Available,Mick West,['Brian Bright'],['Jason Uyeda'],['Scott Pease'],['Silvio Porretta'],Writer(s) Not Available
2001-09-10,Advance Wars,Intelligent Systems,Nintendo,Wars,Game Boy Advance,Turn-based strategy,"['Single-player', 'multiplayer']",Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,['Taishi Senda'],['Toru Narihiro'],['Takehiro Izushi'],Artist(s) Not Available,Writer(s) Not Available
2001-04-14,Animal Crossing,Nintendo EAD,Nintendo,Animal Crossing,"['Nintendo 64', 'GameCube', 'iQue Player']",Life simulation,"['Single-player', 'multiplayer']",Designer(s) Not Available,Engine Not Available,Arcade system Not Available,"['Yuhiki Otsuki', 'Masaru Ni']","['Kazumi Totaka', 'Toru Minegishi']","['Katsuya Eguchi', 'Hisashi Nogami']",Takashi Tezuka,"['Noriko Ikegawa', 'Yoshihisa Morimoto']","['Makoto Wada', 'Kenshirou Ueda', 'Kunio Watanabe']"
2001-08-23,Devil May Cry,Capcom Production Studio 4,Capcom,Devil May Cry,"['PlayStation 2', 'Nintendo Switch', 'PlayStation 3', 'Xbox 360', 'Microsoft Windows', 'PlayStation 4', 'Xbox One']","['Action-adventure', 'hack and slash']",Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Masami Ueda', 'Masato Kohda', 'Misao Senbongi']",Hideki Kamiya,Hiroyuki Kobayashi,['Sawaki Takeyasu'],['Noboru Sugimura']
2001-07-19,Final Fantasy X,Square Product Development Division 1,"['Square', 'Square Electronic Arts', 'Sony Computer Entertainment']",Final Fantasy,PlayStation 2,Role-playing,Single-player,"['Motomu Toriyama', 'Toshiro Tsuchida']",Engine Not Available,Arcade system Not Available,"['Koji Sugimoto', 'Takashi Katano']","['Nobuo Uematsu', 'Masashi Hamauzu', 'Junya Nakano']",Yoshinori Kitase,['Yoshinori Kitase'],"['Tetsuya Nomura', 'Yusuke Naora']","['Kazushige Nojima', 'Daisuke Watanabe', 'Motomu Toriyama', 'Yoshinori Kitase']"
2001-04-28,Gran Turismo 3: A-Spec,Polyphony Digital,Sony Computer Entertainment,Gran Turismo,PlayStation 2,Sim racing,"['Single-player', 'multiplayer']",['Kazunori Yamauchi'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Isamu Ohira Daiki Kasho,Director(s) Not Available,Kazunori Yamauchi,Artist(s) Not Available,Writer(s) Not Available
2001-10-22,Grand Theft Auto III,DMA Design,Rockstar Games,Grand Theft Auto,"['PlayStation 2', 'Microsoft Windows', 'Xbox', 'Mac OS X', 'Android', 'iOS', 'Fire OS']",Action-adventure,Single-player,Designer(s) Not Available,RenderWare,Arcade system Not Available,"['Obbe Vermeij', 'Adam Fowler']","['Craig Conner', 'Stuart Ross']",Director(s) Not Available,Leslie Benzies,['Aaron Garbut'],['Dan Houser']
2001-11-15,Halo: Combat Evolved,"['Bungie', 'Gearbox Software']","['Microsoft Game Studios', 'MacSoft']",Halo,"['Xbox', 'Microsoft Windows', 'Mac OS X', 'Xbox 360', 'Xbox One', 'Xbox Series X/S']",First-person shooter,"['Single-player', 'Multiplayer']",['John Howard'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"[""Martin O'Donnell"", 'Michael Salvatori']",Jason Jones,"['Hamilton Chu', 'Rick Ryan']","['Marcus Lehto', 'Shi Kai Wang']",Writer(s) Not Available
2001-09-24,Ico,"['Japan Studio', 'Team Ico']",Sony Computer Entertainment,Series Not Available,PlayStation 2,Action-adventure,"['Single-player', 'multiplayer']",['Fumito Ueda'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Michiru Oshima Koichi Yamazaki Mitsukuni Murayama,Fumito Ueda,Kenji Kaido,Artist(s) Not Available,Writer(s) Not Available
2001-12-20,Ikaruga,Treasure,"['Entertainment Software Publishing', 'Infogrames', 'Nicalis']",Series Not Available,"['Arcade', 'Dreamcast', 'GameCube', 'Xbox 360', 'Windows', 'Nintendo Switch', 'PlayStation 4']",Shoot 'em up,"['Single-player', '2-player cooperative']",['Yasushi Suzuki'],Engine Not Available,Sega NAOMI,['Atsutomo Nakagawa'],Hiroshi Iuchi,Hiroshi Iuchi,Masato Maegawa,Artist(s) Not Available,Writer(s) Not Available
2001-07-23,Max Payne,Remedy Entertainment,Gathering of Developers,Max Payne,"['Microsoft Windows', 'PlayStation 2', 'Xbox', 'Mac OS X', 'Game Boy Advance', 'iOS', 'Android']",Third-person shooter,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Markus Stein'],['Kärtsy Hatakka'],['Petri Järvilehto'],"['George Broussard', 'Scott Miller']",Artist(s) Not Available,Sam Lake
2001-11-13,Metal Gear Solid 2: Sons of Liberty,Konami Computer Entertainment Japan,Konami,Metal Gear,"['PlayStation 2', 'Xbox', 'Microsoft Windows']","['Action-adventure', 'stealth']",Single-player,['Hideo Kojima'],Engine Not Available,Arcade system Not Available,['Kazunobu Uehara'],"['Norihiko Hibino', 'Harry Gregson-Williams']",Hideo Kojima,['Hideo Kojima'],Yoji Shinkawa,"['Hideo Kojima', 'Tomokazu Fukushima']"
2001-11-22,Rez,United Game Artists,"['Sega', 'Sony', 'Microsoft Game Studios']",Series Not Available,"['Dreamcast', 'PlayStation 2', 'Xbox 360', 'PlayStation 4', 'Microsoft Windows', 'Android', 'Oculus Quest', 'Amazon Luna']","['Rail shooter', 'music']",Single-player,"['Hiroyuki Abe', 'Katsuhiko Yamada']",In-house engine ( Rez ) Unreal Engine 4 ( Rez Infinite – Area X),Arcade system Not Available,['Mitsuru Takahashi'],['Keiichi Sugiyama'],['Jun Kobayashi'],Tetsuya Mizuguchi,Katsumi Yokota,Writer(s) Not Available
2001-09-24,Silent Hill 2,"['Konami Computer Entertainment Tokyo', 'Team Silent']",Konami,Silent Hill,"['PlayStation 2', 'Xbox', 'Microsoft Windows']",Survival horror,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Takayuki Kobayashi'],Akira Yamaoka,['Masashi Tsuboyama'],['Akihiro Imamura'],Masahiro Ito,Hiroyuki Owaku
2001-11-21,Super Smash Bros. Melee,HAL Laboratory,Nintendo,Super Smash Bros.,GameCube,Fighting,"['Single-player', 'multiplayer']","['Masahiro Sakurai', 'Hitoshi Kobayashi']",Engine Not Available,Arcade system Not Available,['Yoshiki Suzuki'],"['Hirokazu Ando', 'Shogo Sakai', 'Tadashi Ikegami', 'Takuto Kitsuta']",Masahiro Sakurai,['Shigeru Miyamoto'],['Hitoshi Kobayashi'],Writer(s) Not Available
2002-05-01,The Elder Scrolls III: Morrowind,Bethesda Game Studios,Bethesda Softworks,The Elder Scrolls,"['Microsoft Windows', 'Xbox']",Action role-playing,Single-player,Ken Rolston,NetImmerse,Arcade system Not Available,"['Craig Walton', 'Guy Carver']",Jeremy Soule,Todd Howard,"['Ashley Cheng', 'Todd Vaughn']","['Matthew Carofano', 'Christiane H. K. Meister']","['Mark E. Nelson', 'Ken Rolston']"
2002-10-29,Grand Theft Auto: Vice City,Rockstar North,Rockstar Games,Grand Theft Auto,"['PlayStation 2', 'Microsoft Windows', 'Xbox', 'Mac OS X', 'iOS', 'Android', 'Fire OS']",Action-adventure,Single-player,Designer(s) Not Available,RenderWare,Arcade system Not Available,"['Obbe Vermeij', 'Adam Fowler', 'Alexander Roger']",['Lex Horton'],Director(s) Not Available,Leslie Benzies,['Aaron Garbut'],['Dan Houser']
2002-03-28,Kingdom Hearts,Square,"['Square Electronic Arts', 'Sony Computer Entertainment Europe']",Kingdom Hearts,PlayStation 2,Action role-playing,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,"['Hiroshi Harata', 'Kentarou Yasui']",Yoko Shimomura,Tetsuya Nomura,"['Shinji Hashimoto', 'Yoshinori Kitase']",['Tetsuya Nomura'],"['Jun Akiyama', 'Daisuke Watanabe', 'Kazushige Nojima']"
2002-12-13,The Legend of Zelda: The Wind Waker,Nintendo EAD,Nintendo,The Legend of Zelda,GameCube,Action-adventure,"['Single-player', 'multiplayer']",Designer(s) Not Available,Engine Not Available,Arcade system Not Available,"['Toshio Iwawaki', 'Kazuaki Morita']","['Toru Minegishi', 'Koji Kondo']",Eiji Aonuma,"['Shigeru Miyamoto', 'Takashi Tezuka']","['Yoshiki Haruhana', 'Satoru Takizawa', 'Masanao Arimoto']","['Mitsuhiro Takano', 'Hajime Takahashi']"
2002-11-17,Metroid Prime,"['Retro Studios', 'Nintendo']",['Nintendo'],Metroid,"['GameCube', 'Wii']",Action-adventure,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Mark Johnston'],['Kenji Yamamoto'],Mark Pacini,"['Shigeru Miyamoto', 'Kensuke Tanabe']","['Todd Keller', 'James H. Dargie']",Writer(s) Not Available
2002-07-05,Soulcalibur II,Project Soul,Namco,Soulcalibur,"['Arcade', 'GameCube', 'PlayStation 2', 'Xbox', 'PlayStation 3', 'Xbox 360']",Fighting,"['Single-player', 'multiplayer']",Designer(s) Not Available,Engine Not Available,Namco System 246,['Shinobu Nimura'],Junichi Nakatsuru Yoshihito Yano Asuka Sakai Rio Hamamoto,"['Jin Okubo', 'Yoshitaka Tezuka']",['Hiroaki Yotoriyama'],['Takuji Kawano'],['Yoshihiro Nakagawa']
2002-11-17,Tom Clancy's Splinter Cell,"['Ubi Soft Montreal', 'Ubi Soft Shanghai', 'Gameloft srl']","['Ubi Soft', 'Aspyr Media']",Tom Clancy's Splinter Cell,"['Xbox', 'Microsoft Windows', 'PlayStation 2', 'GameCube', 'Game Boy Advance', 'Mobile', 'N-Gage', 'Mac OS X', 'PlayStation 3']",Stealth,Single-player,Nathan Wolff Clint Hocking,Unreal Engine 2.0,Arcade system Not Available,['Antoine Dodens'],Michael Richard Plowman,Director(s) Not Available,Mathieu Ferland Reid Schneider,['Hugo Dallaire'],J.T. Petty Clint Hocking
2003-11-11,Beyond Good & Evil,"['Ubisoft Pictures', 'Ubisoft Milan']",Ubisoft,Series Not Available,"['PlayStation 2', 'Microsoft Windows', 'Xbox', 'GameCube', 'Xbox 360', 'PlayStation 3']",Action-adventure,Single-player,"['Michel Ancel', 'Sébastien Morin']",Jade,Arcade system Not Available,Programmer(s) Not Available,Christophe Héral,Michel Ancel,['Yves Guillemot'],"['Florent Sacré', 'Paul Tumelaire']","['Michel Ancel', 'Jacques Exertier']"
2003-10-14,Max Payne 2: The Fall of Max Payne,Remedy Entertainment,Rockstar Games,Max Payne,"['Microsoft Windows', 'Xbox', 'PlayStation 2']",Third-person shooter,Single-player,['Petri Järvilehto'],RenderWare,Arcade system Not Available,['Kim Salo'],['Kärtsy Hatakka'],['Markus Mäki'],Producer(s) Not Available,['Saku Lehtinen'],Sam Lake
2003-10-28,Prince of Persia: The Sands of Time,"['Ubisoft Montreal', 'Ubisoft Pune']",Ubisoft,Prince of Persia,"['Game Boy Advance', 'PlayStation 2', 'Nintendo GameCube', 'Xbox', 'Microsoft Windows', 'Mobile', 'PlayStation 3', 'PlayStation 4', 'Xbox One']","['Action-adventure', 'platform', 'hack and slash']",Single-player,Jordan Mechner,Jade,Arcade system Not Available,['Claude Langlais'],Stuart Chatwood,Patrice Désilets,['Yannis Mallat'],['Raphaël Lacoste'],['Jordan Mechner']
2003-07-15,Star Wars: Knights of the Old Republic,BioWare,LucasArts,Star Wars: Knights of the Old Republic,"['Xbox', 'Microsoft Windows', 'Mac OS X', 'iOS', 'Android']",Role-playing,Single-player,James Ohlen,Odyssey Engine,Arcade system Not Available,['David Falkner'],Jeremy Soule,Casey Hudson,['Casey Hudson'],['Derek Watts'],Drew Karpyshyn
2003-03-21,"WarioWare, Inc.: Mega Microgames!",Nintendo R&D1,Nintendo,Wario,Game Boy Advance,Action,"['Single-player', 'multiplayer']","['Ko Takeuchi', 'Goro Abe', 'Ryutaro Takahashi']",Engine Not Available,Arcade system Not Available,['Kazuyoshi Ohsawa'],"['Ryoji Yoshitomi', 'Kyoko Miyamoto']",['Hirofumi Matsuoka'],['Takehiro Izushi'],['Ko Takeuchi'],Writer(s) Not Available
2004-09-08,Burnout 3: Takedown,Criterion Games,EA Games,Burnout,"['PlayStation 2', 'Xbox']",Racing,"['Single-player', 'multiplayer']","['Paul Cross', 'Chris Roberts']",RenderWare,Arcade system Not Available,['Richard Parr'],['Stephen Root'],['Alex Ward'],['Siobhan Reddy'],['Michael Williamson'],Writer(s) Not Available
2004-11-27,Dragon Quest VIII: Journey of the Cursed King,"['Level-5', 'Square Enix']",Square Enix,Dragon Quest,"['PlayStation 2', 'Android', 'iOS', 'Nintendo 3DS']",Role-playing,Single-player,Yuji Horii,Engine Not Available,Arcade system Not Available,['Yasuhiro Akasaka'],Koichi Sugiyama,Akihiro Hino,"['Ryutaro Ichimura', 'Yoshiki Watabe']",Akira Toriyama Takayuki Sameshima Kazunari Matsuo,"['Yuji Horii', 'Jin Fujisawa', 'Atsushi Narita']"
2004-10-26,Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,Grand Theft Auto,"['PlayStation 2', 'Microsoft Windows', 'Xbox', 'Mac OS X', 'iOS', 'Android', 'Windows Phone', 'Fire OS', 'Xbox 360', 'PlayStation 3']",Action-adventure,"['Single-player', 'multiplayer']",Designer(s) Not Available,RenderWare,Arcade system Not Available,"['Adam Fowler', 'Obbe Vermeij']",Michael Hunter,Director(s) Not Available,Leslie Benzies,['Aaron Garbut'],"['Dan Houser', 'DJ Pooh']"
2004-11-16,Half-Life 2,Valve,['Valve'],Half-Life,"['Windows', 'Xbox', 'Xbox 360', 'PlayStation 3', 'Mac OS X', 'Linux', 'Android']",First-person shooter,Single-player,Designer(s) Not Available,Source,Arcade system Not Available,Programmer(s) Not Available,Kelly Bailey,Director(s) Not Available,Producer(s) Not Available,Viktor Antonov,Marc Laidlaw
2004-11-09,Halo 2,Bungie,Microsoft Game Studios,Halo,"['Xbox', 'Microsoft Windows', 'Xbox 360', 'Xbox One', 'Xbox Series X/S']",First-person shooter,"['Single-player', 'Multiplayer']",['Jaime Griesemer'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"[""Martin O'Donnell"", 'Michael Salvatori']",Jason Jones,Producer(s) Not Available,['Marcus Lehto'],Joseph Staten
2004-03-18,Katamari Damacy,Namco,['Namco'],Katamari,"['PlayStation 2', 'Microsoft Windows', 'Nintendo Switch', 'PlayStation 4', 'Xbox One', 'Amazon Luna']","['Puzzle', 'action']","['Single-player', 'multiplayer']",['Masatoshi Ogita'],Engine Not Available,Arcade system Not Available,['Kazumi Yamabe'],['Yuu Miyake'],Keita Takahashi,"['Hideki Tomida', 'Mitsumasa Fujita']","['Keita Takahashi', 'Takashi Yoshida', 'Moe Miura']",Writer(s) Not Available
2004-11-17,Metal Gear Solid 3: Snake Eater,Konami Computer Entertainment Japan,Konami,Metal Gear,"['PlayStation 2', 'Nintendo 3DS']","['Action-adventure', 'stealth']",Single-player,['Hideo Kojima'],Engine Not Available,Arcade system Not Available,['Kazunobu Uehara'],"['Harry Gregson-Williams', 'Norihiko Hibino']",Hideo Kojima,['Hideo Kojima'],Yoji Shinkawa,['Shuyo Murata']
2004-09-22,Rome: Total War,Creative Assembly,"['Activision', 'Sega', 'Feral Interactive']",Total War,"['Microsoft Windows', 'macOS', 'iOS', 'Android']","['Real-time tactics', 'turn-based strategy']","['Single-player', 'multiplayer']","['Robert T. Smith', 'Mike Brunton', 'Michael de Plater', 'Jamie Ferguson', 'Chris Gambold']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Jeff van Dyck,['Michael M. Simpson'],Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
2004-11-23,World of Warcraft,Blizzard Entertainment,['Blizzard Entertainment'],Warcraft,"['Microsoft Windows', 'macOS']",Massively multiplayer online role-playing,Multiplayer,"['Rob Pardo', 'Jeff Kaplan']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,['Jason Hayes'],Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
2005-10-25,Civilization IV,Firaxis Games,"['2K Games', 'Aspyr']",Civilization,"['Microsoft Windows', 'Mac OS X']","['Turn-based strategy', '4X']","['Single-player', 'multiplayer']",Soren Johnson,Gamebryo,Arcade system Not Available,['Soren Johnson'],"['Jeffery L. Briggs', 'Christopher Tin']",Sid Meier,['Barry Caudill'],['Steve Ogden'],Writer(s) Not Available
